source_file,source_path,source_index,condition,dataset_label,replicate,Pt,T_s,Vf_V_vs_Ref,Im_A,Vu_V,Sig_V,Ach_V,IERange,Over,Temp_deg_C
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,0,0,-0.0999365,0.000714842,0.0,-0.0999643,0.0,12,...........,1483.67
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,1,1,-0.0999465,0.000530367,0.0,-0.0999643,0.0,11,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,2,2,-0.0999465,0.000472281,0.0,-0.0999643,0.0,10,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,3,3,-0.0999565,0.000440395,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,4,4,-0.0999165,0.000417298,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,5,5,-0.0999265,0.000399433,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,6,6,-0.0999465,0.000384368,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,7,7,-0.0999165,0.00037257,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,8,8,-0.0999365,0.000362104,0.0,-0.0999643,0.0,9,...........,1483.31
20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1.DTA,1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,20260617_223153_001_PBSNO3-layers--rpm_1600CHRONOA_1,1,9,9,-0.0999365,0.000352639,0.0,-0.0999643,0.0,9,...........,1483.22
