source_file,source_path,source_index,sequence_index,condition,dataset_label,replicate,Pt,T_s,Vf_V_vs_Ref,Im_A,Vu_V,Sig_V,Ach_V,IERange,Over,Temp_deg_C,step_duration_s,global_time_s,global_time_min,step_variable_name,step_variable_value,step_label
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,0,0,-0.50006,-1.87716e-05,0.0,-0.500071,0.0,12,...........,1483.49,300.0,0.0,0.0,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,1,1,-0.50006,-5.54443e-05,0.0,-0.500071,0.0,11,...........,1483.58,300.0,1.0,0.016666666666666666,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,2,2,-0.50006,-7.64445e-05,0.0,-0.500071,0.0,10,...........,1483.49,300.0,2.0,0.03333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,3,3,-0.50006,-8.31421e-05,0.0,-0.500071,0.0,9,...........,1483.58,300.0,3.0,0.05,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,4,4,-0.50006,-8.77082e-05,0.0,-0.500071,0.0,9,...........,1483.58,300.0,4.0,0.06666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,5,5,-0.50006,-9.09745e-05,0.0,-0.500071,0.0,9,...........,1483.58,300.0,5.0,0.08333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,6,6,-0.50006,-9.41074e-05,0.0,-0.500071,0.0,9,...........,1483.58,300.0,6.0,0.1,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,7,7,-0.50016,-9.63072e-05,0.0,-0.500071,0.0,9,...........,1483.49,300.0,7.0,0.11666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,8,8,-0.50006,-9.81403e-05,0.0,-0.500071,0.0,9,...........,1483.58,300.0,8.0,0.13333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,9,9,-0.50006,-9.93735e-05,0.0,-0.500071,0.0,9,...........,1483.49,300.0,9.0,0.15,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
